input_text,target_text
wygeneruj raport pogody: miasto Katowice; temperatura 4.1 C; temperatura odczuwalna 1.2 C; cisnienie 1026 hPa; wilgotnosc 55 procent; wiatr 4.2 m/s; zachmurzenie 25 procent,"W mieście Katowice temperatura wynosi 4.1 stopni C, a temperatura odczuwalna 1.2 stopni C. Ciśnienie wynosi 1026 hPa, wilgotność 55%, prędkość wiatru 4.2 m/s, a zachmurzenie 25%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Gdynia; temperatura 5.7 C; temperatura odczuwalna 1.3 C; cisnienie 1026 hPa; wilgotnosc 67 procent; wiatr 6.1 m/s; zachmurzenie 38 procent,"W mieście Gdynia temperatura wynosi 5.7 stopni C, a temperatura odczuwalna 1.3 stopni C. Ciśnienie wynosi 1026 hPa, wilgotność 67%, prędkość wiatru 6.1 m/s, a zachmurzenie 38%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Częstochowa; temperatura 5.9 C; temperatura odczuwalna -0.4 C; cisnienie 1024 hPa; wilgotnosc 37 procent; wiatr 7.0 m/s; zachmurzenie 75 procent,"W mieście Częstochowa temperatura wynosi 5.9 stopni C, a temperatura odczuwalna -0.4 stopni C. Ciśnienie wynosi 1024 hPa, wilgotność 37%, prędkość wiatru 7.0 m/s, a zachmurzenie 75%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Radom; temperatura 6.4 C; temperatura odczuwalna 3.7 C; cisnienie 1020 hPa; wilgotnosc 60 procent; wiatr 1.3 m/s; zachmurzenie 63 procent,"W mieście Radom temperatura wynosi 6.4 stopni C, a temperatura odczuwalna 3.7 stopni C. Ciśnienie wynosi 1020 hPa, wilgotność 60%, prędkość wiatru 1.3 m/s, a zachmurzenie 63%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Toruń; temperatura 2.8 C; temperatura odczuwalna -1.1 C; cisnienie 1015 hPa; wilgotnosc 78 procent; wiatr 3.7 m/s; zachmurzenie 63 procent,"W mieście Toruń temperatura wynosi 2.8 stopni C, a temperatura odczuwalna -1.1 stopni C. Ciśnienie wynosi 1015 hPa, wilgotność 78%, prędkość wiatru 3.7 m/s, a zachmurzenie 63%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Sosnowiec; temperatura 6.4 C; temperatura odczuwalna -0.7 C; cisnienie 1022 hPa; wilgotnosc 55 procent; wiatr 6.0 m/s; zachmurzenie 46 procent,"W mieście Sosnowiec temperatura wynosi 6.4 stopni C, a temperatura odczuwalna -0.7 stopni C. Ciśnienie wynosi 1022 hPa, wilgotność 55%, prędkość wiatru 6.0 m/s, a zachmurzenie 46%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Rzeszów; temperatura 7.2 C; temperatura odczuwalna 1.9 C; cisnienie 1014 hPa; wilgotnosc 60 procent; wiatr 4.9 m/s; zachmurzenie 49 procent,"W mieście Rzeszów temperatura wynosi 7.2 stopni C, a temperatura odczuwalna 1.9 stopni C. Ciśnienie wynosi 1014 hPa, wilgotność 60%, prędkość wiatru 4.9 m/s, a zachmurzenie 49%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Kielce; temperatura 4.6 C; temperatura odczuwalna 1.1 C; cisnienie 1026 hPa; wilgotnosc 64 procent; wiatr 3.2 m/s; zachmurzenie 65 procent,"W mieście Kielce temperatura wynosi 4.6 stopni C, a temperatura odczuwalna 1.1 stopni C. Ciśnienie wynosi 1026 hPa, wilgotność 64%, prędkość wiatru 3.2 m/s, a zachmurzenie 65%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Gliwice; temperatura 7.0 C; temperatura odczuwalna 5.4 C; cisnienie 1020 hPa; wilgotnosc 41 procent; wiatr 4.4 m/s; zachmurzenie 54 procent,"W mieście Gliwice temperatura wynosi 7.0 stopni C, a temperatura odczuwalna 5.4 stopni C. Ciśnienie wynosi 1020 hPa, wilgotność 41%, prędkość wiatru 4.4 m/s, a zachmurzenie 54%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Olsztyn; temperatura 5.2 C; temperatura odczuwalna 1.0 C; cisnienie 1029 hPa; wilgotnosc 64 procent; wiatr 5.0 m/s; zachmurzenie 25 procent,"W mieście Olsztyn temperatura wynosi 5.2 stopni C, a temperatura odczuwalna 1.0 stopni C. Ciśnienie wynosi 1029 hPa, wilgotność 64%, prędkość wiatru 5.0 m/s, a zachmurzenie 25%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Zabrze; temperatura 9.2 C; temperatura odczuwalna 7.7 C; cisnienie 1023 hPa; wilgotnosc 70 procent; wiatr 3.0 m/s; zachmurzenie 19 procent,"W mieście Zabrze temperatura wynosi 9.2 stopni C, a temperatura odczuwalna 7.7 stopni C. Ciśnienie wynosi 1023 hPa, wilgotność 70%, prędkość wiatru 3.0 m/s, a zachmurzenie 19%. Opis pogody: bezchmurnie."
wygeneruj raport pogody: miasto Bielsko-Biała; temperatura 2.0 C; temperatura odczuwalna -2.0 C; cisnienie 1012 hPa; wilgotnosc 71 procent; wiatr 3.6 m/s; zachmurzenie 42 procent,"W mieście Bielsko-Biała temperatura wynosi 2.0 stopni C, a temperatura odczuwalna -2.0 stopni C. Ciśnienie wynosi 1012 hPa, wilgotność 71%, prędkość wiatru 3.6 m/s, a zachmurzenie 42%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Bytom; temperatura 1.8 C; temperatura odczuwalna -3.8 C; cisnienie 1015 hPa; wilgotnosc 62 procent; wiatr 5.3 m/s; zachmurzenie 93 procent,"W mieście Bytom temperatura wynosi 1.8 stopni C, a temperatura odczuwalna -3.8 stopni C. Ciśnienie wynosi 1015 hPa, wilgotność 62%, prędkość wiatru 5.3 m/s, a zachmurzenie 93%. Opis pogody: duże zachmurzenie."
wygeneruj raport pogody: miasto Zielona Góra; temperatura 9.3 C; temperatura odczuwalna 6.4 C; cisnienie 1006 hPa; wilgotnosc 58 procent; wiatr 2.5 m/s; zachmurzenie 87 procent,"W mieście Zielona Góra temperatura wynosi 9.3 stopni C, a temperatura odczuwalna 6.4 stopni C. Ciśnienie wynosi 1006 hPa, wilgotność 58%, prędkość wiatru 2.5 m/s, a zachmurzenie 87%. Opis pogody: duże zachmurzenie."
wygeneruj raport pogody: miasto Rybnik; temperatura 7.0 C; temperatura odczuwalna 2.1 C; cisnienie 1028 hPa; wilgotnosc 48 procent; wiatr 5.8 m/s; zachmurzenie 21 procent,"W mieście Rybnik temperatura wynosi 7.0 stopni C, a temperatura odczuwalna 2.1 stopni C. Ciśnienie wynosi 1028 hPa, wilgotność 48%, prędkość wiatru 5.8 m/s, a zachmurzenie 21%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Ruda Śląska; temperatura 7.0 C; temperatura odczuwalna 1.4 C; cisnienie 1022 hPa; wilgotnosc 54 procent; wiatr 5.1 m/s; zachmurzenie 60 procent,"W mieście Ruda Śląska temperatura wynosi 7.0 stopni C, a temperatura odczuwalna 1.4 stopni C. Ciśnienie wynosi 1022 hPa, wilgotność 54%, prędkość wiatru 5.1 m/s, a zachmurzenie 60%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Opole; temperatura 13.5 C; temperatura odczuwalna 9.6 C; cisnienie 1015 hPa; wilgotnosc 36 procent; wiatr 5.3 m/s; zachmurzenie 71 procent,"W mieście Opole temperatura wynosi 13.5 stopni C, a temperatura odczuwalna 9.6 stopni C. Ciśnienie wynosi 1015 hPa, wilgotność 36%, prędkość wiatru 5.3 m/s, a zachmurzenie 71%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Tychy; temperatura 10.6 C; temperatura odczuwalna 8.9 C; cisnienie 1021 hPa; wilgotnosc 63 procent; wiatr 3.2 m/s; zachmurzenie 65 procent,"W mieście Tychy temperatura wynosi 10.6 stopni C, a temperatura odczuwalna 8.9 stopni C. Ciśnienie wynosi 1021 hPa, wilgotność 63%, prędkość wiatru 3.2 m/s, a zachmurzenie 65%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Gorzów Wielkopolski; temperatura 5.0 C; temperatura odczuwalna 1.8 C; cisnienie 1019 hPa; wilgotnosc 56 procent; wiatr 3.3 m/s; zachmurzenie 34 procent,"W mieście Gorzów Wielkopolski temperatura wynosi 5.0 stopni C, a temperatura odczuwalna 1.8 stopni C. Ciśnienie wynosi 1019 hPa, wilgotność 56%, prędkość wiatru 3.3 m/s, a zachmurzenie 34%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Elbląg; temperatura 7.1 C; temperatura odczuwalna 4.3 C; cisnienie 1019 hPa; wilgotnosc 60 procent; wiatr 5.8 m/s; zachmurzenie 91 procent,"W mieście Elbląg temperatura wynosi 7.1 stopni C, a temperatura odczuwalna 4.3 stopni C. Ciśnienie wynosi 1019 hPa, wilgotność 60%, prędkość wiatru 5.8 m/s, a zachmurzenie 91%. Opis pogody: duże zachmurzenie."
wygeneruj raport pogody: miasto Płock; temperatura 8.5 C; temperatura odczuwalna 5.9 C; cisnienie 1015 hPa; wilgotnosc 47 procent; wiatr 3.1 m/s; zachmurzenie 67 procent,"W mieście Płock temperatura wynosi 8.5 stopni C, a temperatura odczuwalna 5.9 stopni C. Ciśnienie wynosi 1015 hPa, wilgotność 47%, prędkość wiatru 3.1 m/s, a zachmurzenie 67%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Dąbrowa Górnicza; temperatura 7.9 C; temperatura odczuwalna 4.5 C; cisnienie 1021 hPa; wilgotnosc 50 procent; wiatr 4.4 m/s; zachmurzenie 17 procent,"W mieście Dąbrowa Górnicza temperatura wynosi 7.9 stopni C, a temperatura odczuwalna 4.5 stopni C. Ciśnienie wynosi 1021 hPa, wilgotność 50%, prędkość wiatru 4.4 m/s, a zachmurzenie 17%. Opis pogody: bezchmurnie."
wygeneruj raport pogody: miasto Wałbrzych; temperatura 6.9 C; temperatura odczuwalna 3.9 C; cisnienie 1011 hPa; wilgotnosc 63 procent; wiatr 2.5 m/s; zachmurzenie 64 procent,"W mieście Wałbrzych temperatura wynosi 6.9 stopni C, a temperatura odczuwalna 3.9 stopni C. Ciśnienie wynosi 1011 hPa, wilgotność 63%, prędkość wiatru 2.5 m/s, a zachmurzenie 64%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Włocławek; temperatura 6.2 C; temperatura odczuwalna 4.0 C; cisnienie 1021 hPa; wilgotnosc 66 procent; wiatr 2.7 m/s; zachmurzenie 69 procent,"W mieście Włocławek temperatura wynosi 6.2 stopni C, a temperatura odczuwalna 4.0 stopni C. Ciśnienie wynosi 1021 hPa, wilgotność 66%, prędkość wiatru 2.7 m/s, a zachmurzenie 69%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Tarnów; temperatura 0.5 C; temperatura odczuwalna 0.5 C; cisnienie 1019 hPa; wilgotnosc 79 procent; wiatr 3.0 m/s; zachmurzenie 67 procent,"W mieście Tarnów temperatura wynosi 0.5 stopni C, a temperatura odczuwalna 0.5 stopni C. Ciśnienie wynosi 1019 hPa, wilgotność 79%, prędkość wiatru 3.0 m/s, a zachmurzenie 67%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Chorzów; temperatura 8.3 C; temperatura odczuwalna 3.0 C; cisnienie 1021 hPa; wilgotnosc 67 procent; wiatr 6.3 m/s; zachmurzenie 71 procent,"W mieście Chorzów temperatura wynosi 8.3 stopni C, a temperatura odczuwalna 3.0 stopni C. Ciśnienie wynosi 1021 hPa, wilgotność 67%, prędkość wiatru 6.3 m/s, a zachmurzenie 71%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Koszalin; temperatura 2.9 C; temperatura odczuwalna -3.3 C; cisnienie 1031 hPa; wilgotnosc 64 procent; wiatr 4.1 m/s; zachmurzenie 57 procent,"W mieście Koszalin temperatura wynosi 2.9 stopni C, a temperatura odczuwalna -3.3 stopni C. Ciśnienie wynosi 1031 hPa, wilgotność 64%, prędkość wiatru 4.1 m/s, a zachmurzenie 57%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Kalisz; temperatura 8.7 C; temperatura odczuwalna 5.2 C; cisnienie 1013 hPa; wilgotnosc 52 procent; wiatr 1.9 m/s; zachmurzenie 82 procent,"W mieście Kalisz temperatura wynosi 8.7 stopni C, a temperatura odczuwalna 5.2 stopni C. Ciśnienie wynosi 1013 hPa, wilgotność 52%, prędkość wiatru 1.9 m/s, a zachmurzenie 82%. Opis pogody: duże zachmurzenie."
wygeneruj raport pogody: miasto Legnica; temperatura 3.1 C; temperatura odczuwalna -2.9 C; cisnienie 1022 hPa; wilgotnosc 61 procent; wiatr 5.6 m/s; zachmurzenie 60 procent,"W mieście Legnica temperatura wynosi 3.1 stopni C, a temperatura odczuwalna -2.9 stopni C. Ciśnienie wynosi 1022 hPa, wilgotność 61%, prędkość wiatru 5.6 m/s, a zachmurzenie 60%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Grudziądz; temperatura 14.6 C; temperatura odczuwalna 10.6 C; cisnienie 1018 hPa; wilgotnosc 35 procent; wiatr 5.5 m/s; zachmurzenie 59 procent,"W mieście Grudziądz temperatura wynosi 14.6 stopni C, a temperatura odczuwalna 10.6 stopni C. Ciśnienie wynosi 1018 hPa, wilgotność 35%, prędkość wiatru 5.5 m/s, a zachmurzenie 59%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Jaworzno; temperatura 2.8 C; temperatura odczuwalna -2.2 C; cisnienie 1012 hPa; wilgotnosc 74 procent; wiatr 4.3 m/s; zachmurzenie 76 procent,"W mieście Jaworzno temperatura wynosi 2.8 stopni C, a temperatura odczuwalna -2.2 stopni C. Ciśnienie wynosi 1012 hPa, wilgotność 74%, prędkość wiatru 4.3 m/s, a zachmurzenie 76%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Słupsk; temperatura 4.1 C; temperatura odczuwalna 0.7 C; cisnienie 1011 hPa; wilgotnosc 84 procent; wiatr 3.5 m/s; zachmurzenie 65 procent,"W mieście Słupsk temperatura wynosi 4.1 stopni C, a temperatura odczuwalna 0.7 stopni C. Ciśnienie wynosi 1011 hPa, wilgotność 84%, prędkość wiatru 3.5 m/s, a zachmurzenie 65%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Jastrzębie-Zdrój; temperatura 14.5 C; temperatura odczuwalna 8.5 C; cisnienie 1031 hPa; wilgotnosc 35 procent; wiatr 6.2 m/s; zachmurzenie 42 procent,"W mieście Jastrzębie-Zdrój temperatura wynosi 14.5 stopni C, a temperatura odczuwalna 8.5 stopni C. Ciśnienie wynosi 1031 hPa, wilgotność 35%, prędkość wiatru 6.2 m/s, a zachmurzenie 42%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Nowy Sącz; temperatura 7.8 C; temperatura odczuwalna 1.4 C; cisnienie 1007 hPa; wilgotnosc 50 procent; wiatr 5.7 m/s; zachmurzenie 53 procent,"W mieście Nowy Sącz temperatura wynosi 7.8 stopni C, a temperatura odczuwalna 1.4 stopni C. Ciśnienie wynosi 1007 hPa, wilgotność 50%, prędkość wiatru 5.7 m/s, a zachmurzenie 53%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Jelenia Góra; temperatura 5.0 C; temperatura odczuwalna 1.6 C; cisnienie 1017 hPa; wilgotnosc 81 procent; wiatr 2.5 m/s; zachmurzenie 19 procent,"W mieście Jelenia Góra temperatura wynosi 5.0 stopni C, a temperatura odczuwalna 1.6 stopni C. Ciśnienie wynosi 1017 hPa, wilgotność 81%, prędkość wiatru 2.5 m/s, a zachmurzenie 19%. Opis pogody: bezchmurnie."
wygeneruj raport pogody: miasto Siedlce; temperatura 11.8 C; temperatura odczuwalna 9.3 C; cisnienie 1011 hPa; wilgotnosc 63 procent; wiatr 2.2 m/s; zachmurzenie 55 procent,"W mieście Siedlce temperatura wynosi 11.8 stopni C, a temperatura odczuwalna 9.3 stopni C. Ciśnienie wynosi 1011 hPa, wilgotność 63%, prędkość wiatru 2.2 m/s, a zachmurzenie 55%. Opis pogody: pochmurnie."
wygeneruj raport pogody: miasto Mysłowice; temperatura 6.8 C; temperatura odczuwalna 3.6 C; cisnienie 1020 hPa; wilgotnosc 62 procent; wiatr 3.5 m/s; zachmurzenie 45 procent,"W mieście Mysłowice temperatura wynosi 6.8 stopni C, a temperatura odczuwalna 3.6 stopni C. Ciśnienie wynosi 1020 hPa, wilgotność 62%, prędkość wiatru 3.5 m/s, a zachmurzenie 45%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Konin; temperatura 12.3 C; temperatura odczuwalna 9.6 C; cisnienie 1019 hPa; wilgotnosc 71 procent; wiatr 2.5 m/s; zachmurzenie 6 procent,"W mieście Konin temperatura wynosi 12.3 stopni C, a temperatura odczuwalna 9.6 stopni C. Ciśnienie wynosi 1019 hPa, wilgotność 71%, prędkość wiatru 2.5 m/s, a zachmurzenie 6%. Opis pogody: bezchmurnie."
wygeneruj raport pogody: miasto Piła; temperatura 7.1 C; temperatura odczuwalna 4.2 C; cisnienie 1016 hPa; wilgotnosc 58 procent; wiatr 3.5 m/s; zachmurzenie 42 procent,"W mieście Piła temperatura wynosi 7.1 stopni C, a temperatura odczuwalna 4.2 stopni C. Ciśnienie wynosi 1016 hPa, wilgotność 58%, prędkość wiatru 3.5 m/s, a zachmurzenie 42%. Opis pogody: lekkie zachmurzenie."
wygeneruj raport pogody: miasto Piotrków Trybunalski; temperatura 7.4 C; temperatura odczuwalna 4.1 C; cisnienie 1021 hPa; wilgotnosc 69 procent; wiatr 3.4 m/s; zachmurzenie 62 procent,"W mieście Piotrków Trybunalski temperatura wynosi 7.4 stopni C, a temperatura odczuwalna 4.1 stopni C. Ciśnienie wynosi 1021 hPa, wilgotność 69%, prędkość wiatru 3.4 m/s, a zachmurzenie 62%. Opis pogody: pochmurnie."
